Rainfall,Evaporation,WindGustDir,WindGustSpeed,WindSpeed3pm,Humidity3pm,Pressure3pm,Cloud3pm,RainToday,RISK_MM,RainTomorrow
0,3.4,NW,30,20,29,1015,7,No,3.6,Yes
3.6,4.4,ENE,39,17,36,1008.4,3,Yes,3.6,Yes
3.6,5.8,NW,85,6,69,1007.2,7,Yes,39.8,Yes
39.8,7.2,NW,54,24,56,1007,7,Yes,2.8,Yes
2.8,5.6,SSE,50,28,49,1018.5,7,Yes,0,No
0,5.8,SE,44,24,57,1021.7,5,No,0.2,No
0.2,4.2,SE,43,26,47,1022.2,6,No,0,No
0,5.6,E,41,24,57,1024.2,7,No,0,No
0,4,S,48,17,48,1022.7,7,No,16.2,Yes
16.2,5.4,E,31,6,32,1020.7,1,Yes,0,No
0,4.2,N,30,9,34,1021.1,2,No,0.2,No
0.2,7.2,E,41,15,35,1019.9,3,No,0,No
0,7.2,WNW,30,7,29,1017.1,1,No,0,No
0,6.2,NW,44,20,20,1013.1,4,No,0,No
0,8.8,NW,41,20,16,1013.7,1,No,0,No
0,8.4,E,46,9,22,1012.8,3,No,0,No
0,7.2,ESE,44,19,23,1009.8,6,No,1.2,Yes
1.2,7.2,S,52,11,26,1013,5,Yes,0.6,No
0.6,7.4,E,39,17,25,1013.3,3,No,0,No
0,8,NE,33,13,27,1013.7,1,No,0,No
0,8.8,WNW,59,31,26,1006.5,5,No,0.4,No
0.4,9.2,E,26,11,72,1008.9,8,No,25.8,Yes
25.8,2.8,ESE,28,13,79,1014.9,8,Yes,0.4,No
0.4,1.2,NNE,26,9,57,1019.2,5,No,0,No
0,4.4,ENE,33,15,31,1018.6,2,No,0,No
0,6.8,E,41,22,48,1016.5,4,No,0.2,No
0.2,6.6,ENE,39,17,55,1018.6,7,No,0,No
0,4.4,S,52,11,31,1014.8,7,No,0,No
0,7,SE,39,17,80,1017.1,7,No,0.4,No
0.4,2.6,NNW,30,6,49,1013.3,7,No,22.6,Yes
22.6,2.4,SSE,41,20,90,1014.1,8,Yes,4.2,Yes
4.2,1.6,NNE,41,9,46,1009.5,2,Yes,0.2,No
0.2,6.6,NW,50,35,60,1004.6,7,No,6.6,Yes
6.6,3.8,NW,50,26,40,1006.3,2,Yes,0,No
0,8.4,ENE,43,30,63,1015.3,1,No,0,No
0,6,ENE,39,9,54,1016.1,7,No,0,No
0,4.2,SW,41,6,74,1011.5,7,No,4,Yes
4,4.2,NE,39,13,42,1011.4,1,Yes,0,No
0,6.6,NW,43,24,24,1008.5,7,No,0,No
0,10.4,NNW,35,6,37,1010.4,7,No,0.6,No
0.6,4.8,ENE,35,15,63,1017.4,6,No,0,No
0,4.2,ENE,41,24,51,1019.6,5,No,0,No
0,5,SE,39,20,49,1019.3,7,No,0,No
0,4.4,E,35,11,37,1012.5,2,No,0,No
0,6.8,E,41,13,36,1010.2,8,No,5.4,Yes
5.4,6.4,S,31,7,86,1008.6,8,Yes,1.4,Yes
1.4,2.8,ESE,48,20,40,1016.8,4,Yes,0,No
0,6.6,ENE,39,20,43,1018.3,7,No,0,No
0,6.4,NE,22,6,54,1015.6,8,No,3.4,Yes
3.4,1.6,NNW,30,13,74,1014.1,7,Yes,6.4,Yes
6.4,1.8,N,41,22,48,1008.3,7,Yes,11,Yes
11,4.4,NNW,76,30,62,996.8,3,Yes,17.4,Yes
